Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
500,3655.843,0.449,2563.233,4f(2F～)5d2(3F),4I～,11月2日,12,N
500,3655.843,0.449,29908.904,4f5d(3G～)6p,4H,9月2日,10,N
700,3801.52,1.39,7233.627,4f5d(3G～)6s,4G～,11月2日,12,N
700,3801.52,1.39,33531.388,4f5d(3G～)6p,4H,2月13日,14,N
600,3942.157,0.431,0,4f(2F～)5d2(3F),4H～,7月2日,8,N
600,3942.157,0.431,25359.686,4f5d(3F～)6p,4G,5月2日,6,N
800,3942.746,1.32,6913.392,4f5d(3H～)6s,4H～,2月13日,14,N
800,3942.746,1.32,32269.252,4f5d(3H～)6p,4I,2月15日,16,N
900,3952.545,0.335,2641.559,4f5d(1G～)6s,～,7月2日,8,N
900,3952.545,0.335,27934.638,4f5d(3H～)6p, ,9月2日,10,N
800,3999.237,0.396,2382.246,4f5d(1G～)6s,～,9月2日,10,N
800,3999.237,0.396,27379.949,4f5d(1G～)6p, ,11月2日,12,N
800,4012.387,0.67,4523.033,4f5d(3H～)6s,4H～,9月2日,10,N
800,4012.387,0.67,29438.817,4f5d(3H～)6p, ,11月2日,12,N
600,4040.752,0.66,3593.882,4f5d(1G～)6s,～,9月2日,10,N
600,4040.752,0.66,28334.756,4f5d(3H～)6p, ,9月2日,10,N
,,,,,,,,
,,,,,,,,
600,4137.649,0.82,4165.55,4f2(3H)6s,4H,9月2日,10,N
600,4137.649,0.82,28327.071,4f2(3H4)6p3/2,"(4,3/2)～",11月2日,12,N
,,,,,,,,
,,,,,,,,
600,4289.935,0.584,2641.559,4f5d(1G～)6s,～,7月2日,8,
600,4289.935,0.584,25945.396,4f5d(1G～)6p, ,7月2日,8,
700,4460.204,0.8,3854.012,4f2(3H)6s,4H,7月2日,8,
700,4460.204,0.8,26268.203,4f2(3H4)6p1/2,"(4,1/2)～",7月2日,8,
600,4562.358,0.518,3854.012,4f2(3H)6s,4H,7月2日,8,
600,4562.358,0.518,25766.355,4f2(3H4)6p1/2,"(4,1/2)～",9月2日,10,
